Epoch   0 | train_loss=1.3229 | val_loss=0.9230 | val_bal_acc=51.43% | val_top1=57.28%
Epoch   1 | train_loss=0.7037 | val_loss=0.6571 | val_bal_acc=65.81% | val_top1=69.34%
Epoch   2 | train_loss=0.5379 | val_loss=0.5480 | val_bal_acc=70.97% | val_top1=75.08%
Epoch   3 | train_loss=0.4282 | val_loss=0.4185 | val_bal_acc=74.78% | val_top1=80.42%
Epoch   4 | train_loss=0.3613 | val_loss=0.3641 | val_bal_acc=78.96% | val_top1=82.93%
Epoch   5 | train_loss=0.3196 | val_loss=0.3462 | val_bal_acc=79.90% | val_top1=83.84%
Epoch   6 | train_loss=0.2787 | val_loss=0.2987 | val_bal_acc=82.62% | val_top1=86.09%
Epoch   7 | train_loss=0.2499 | val_loss=0.2583 | val_bal_acc=86.31% | val_top1=88.07%
Epoch   8 | train_loss=0.2261 | val_loss=0.2460 | val_bal_acc=84.41% | val_top1=88.57%
Epoch   9 | train_loss=0.2059 | val_loss=0.2193 | val_bal_acc=87.04% | val_top1=89.84%
Epoch  10 | train_loss=0.1908 | val_loss=0.2093 | val_bal_acc=88.37% | val_top1=90.69%
Epoch  11 | train_loss=0.1805 | val_loss=0.2109 | val_bal_acc=88.24% | val_top1=90.67%
Epoch  12 | train_loss=0.1714 | val_loss=0.1952 | val_bal_acc=88.53% | val_top1=91.25%
Epoch  13 | train_loss=0.1606 | val_loss=0.1824 | val_bal_acc=90.46% | val_top1=92.09%
Epoch  14 | train_loss=0.1530 | val_loss=0.1768 | val_bal_acc=91.49% | val_top1=92.24%
Epoch  15 | train_loss=0.1476 | val_loss=0.1611 | val_bal_acc=90.53% | val_top1=92.80%
Epoch  16 | train_loss=0.1409 | val_loss=0.1843 | val_bal_acc=91.87% | val_top1=92.10%
Epoch  17 | train_loss=0.1360 | val_loss=0.1597 | val_bal_acc=91.14% | val_top1=93.24%
Epoch  18 | train_loss=0.1283 | val_loss=0.1547 | val_bal_acc=92.41% | val_top1=93.46%
Epoch  19 | train_loss=0.1230 | val_loss=0.1440 | val_bal_acc=92.17% | val_top1=93.89%
Epoch  20 | train_loss=0.1215 | val_loss=0.1709 | val_bal_acc=90.74% | val_top1=92.49%
Epoch  21 | train_loss=0.1169 | val_loss=0.1395 | val_bal_acc=92.41% | val_top1=93.64%
Epoch  22 | train_loss=0.1152 | val_loss=0.1427 | val_bal_acc=93.11% | val_top1=93.91%
Epoch  23 | train_loss=0.1105 | val_loss=0.1368 | val_bal_acc=92.69% | val_top1=94.41%
Epoch  24 | train_loss=0.1111 | val_loss=0.1570 | val_bal_acc=91.77% | val_top1=93.54%
Epoch  25 | train_loss=0.1040 | val_loss=0.1385 | val_bal_acc=93.31% | val_top1=94.31%
Epoch  26 | train_loss=0.1021 | val_loss=0.1310 | val_bal_acc=93.93% | val_top1=94.78%
Epoch  27 | train_loss=0.1029 | val_loss=0.1290 | val_bal_acc=94.20% | val_top1=94.97%
Epoch  28 | train_loss=0.0996 | val_loss=0.1264 | val_bal_acc=93.68% | val_top1=94.90%
Epoch  29 | train_loss=0.0946 | val_loss=0.1271 | val_bal_acc=93.27% | val_top1=94.64%
